business_supplier,contacts_url,gold_status,gold_years,main_products,supplier_url
"Foshan JCT Machinery Co., Ltd.",//fsjct.en.alibaba.com/contactinfo.html,Supplier,9,"Reactor,Kneading Machine,High Speed Dispersion Machine,Strong Dispersing Machine,Butterfly Twin Shafts Mixer",//fsjct.en.alibaba.com/company_profile.html#top-nav-bar
"Shenzhen Kingkonree Technology Co., Ltd.",//chinakingkonree.en.alibaba.com/contactinfo.html,Gold Supplier,10,"Solid Surface Sheets,Solid Surface Bathtubs,Solid Surface Sink,Customized Countertops,Customized Tables",//chinakingkonree.en.alibaba.com/company_profile.html#top-nav-bar
Beijing Sentinain Technology Inc.,//sidolimusa.en.alibaba.com/contactinfo.html,Supplier,9,"Fermenter,Freeze Drying,Turnkey Production Line",//sidolimusa.en.alibaba.com/company_profile.html#top-nav-bar
Shenzhen Baotrol Building ,//baotrol.en.alibaba.com/contactinfo.html,Gold Supplier,7,"Furniture,table,solid surface,sinks,display fixture",//baotrol.en.alibaba.com/company_profile.html#top-nav-bar
" Co., Ltd.",//grsmachine.en.alibaba.com/contactinfo.html,Gold Supplier,6,"Tissue Paper Line,Facial Making Machine,Towel Folding Machine Production Line,Paper Napkin Making Machine,Toilet Paper Making Machine",//grsmachine.en.alibaba.com/company_profile.html#top-nav-bar
"Hebei Greens Machinery Manufacturing Co., Ltd.",//kkr.en.alibaba.com/contactinfo.html,Gold Supplier,6,"Solid Surface Sheets,Solid Surface Bathtubs,Solid Surface Sink,Customized Countertops,Customized Tables",//kkr.en.alibaba.com/company_profile.html#top-nav-bar
"Dongguan Kingkonree Artificial Stone Industry Co., Ltd.",//frigmaires.trustpass.alibaba.com/contactinfo.html,Gold Supplier,12,"Paint Machine,Lube Oil Machine,Industrial Mixers,Dry Mix Mortar Machine,Grease Plant",//frigmaires.trustpass.alibaba.com/company_profile.html#top-nav-bar
"Foshan Hanse Ceramic Co., Ltd.",//redlionchina.en.alibaba.com/contactinfo.html,Gold Supplier,11,"Ceramic Tile,Porcelain Tile,Roofing Tile,Floor Tile,Mosaic",//redlionchina.en.alibaba.com/company_profile.html#top-nav-bar
"Xiamen Ogrand Stone Imp.& Exp. Co., Ltd.",//ograndstone.en.alibaba.com/contactinfo.html,Gold Supplier,6,"Countertop,Tiles,Tombstone,Building stone,Fountain",//ograndstone.en.alibaba.com/company_profile.html#top-nav-bar
"Guangzhou Brothers Stone Co., Ltd.",//gzbrothersstone.en.alibaba.com/contactinfo.html,Gold Supplier,6,"marble,granite,sink,stairs,Quartz",//gzbrothersstone.en.alibaba.com/company_profile.html#top-nav-bar
Shenzhen Tell World ,//tellworld.en.alibaba.com/contactinfo.html,Gold Supplier,10,"Office Furniture,Commercial Restaurant Coffee Counter Table Chairs,Solid Surface Slabs,Artificial Stone Sheet,Reception Front Desk",//tellworld.en.alibaba.com/company_profile.html#top-nav-bar
 ,//solidsurfacefurniture.en.alibaba.com/contactinfo.html,Gold Supplier,7,"solid surface slab,solid surface furniture,solid surface basin,solid surface reception counter,Bar counter",//solidsurfacefurniture.en.alibaba.com/company_profile.html#top-nav-bar
" Co., Ltd.",//worldwaveintl.trustpass.alibaba.com/contactinfo.html,Gold Supplier,1,"Porcelain Tiles,Ceramic Tiles,Sanitaryware,High Pressure Decorative Laminates,HPL",//worldwaveintl.trustpass.alibaba.com/company_profile.html#top-nav-bar
Shenzhen Tell World ,//magixity.en.alibaba.com/contactinfo.html,Gold Supplier,5,"Led Sign Material,Lightbox,PVC Foam Board,Acrylic Sheet,Acrylic Sign",//magixity.en.alibaba.com/company_profile.html#top-nav-bar
 ,//jh-acrylic.en.alibaba.com/contactinfo.html,Gold Supplier,3,"Wood grain acrylic,acrylic sheet,Glitter acrylic sheet,Marble acrylic sheet,Water grain acrylic",//jh-acrylic.en.alibaba.com/company_profile.html#top-nav-bar
" Co., Ltd.",//kr1024744653.trustpass.alibaba.com/contactinfo.html,Gold Supplier,1,"ACRYLIC SOLID SURFACE,EPS RECYCLE RESIN,PS MOULDING",//kr1024744653.trustpass.alibaba.com/company_profile.html#top-nav-bar
WORLDWAVE INTERNATIONAL,//corianfurniture.en.alibaba.com/contactinfo.html,Gold Supplier,11,"Corian made furniture,bathroom vanity,corian objects,bar counter,reception desk",//corianfurniture.en.alibaba.com/company_profile.html#top-nav-bar
Shenzhen Ouke ,//szok.en.alibaba.com/contactinfo.html,Supplier,7,"Acrylic Box,Acrylic Photo Frame,Acrylic Display Stand,Acrylic Sign Holder",//szok.en.alibaba.com/company_profile.html#top-nav-bar
" Product Co., Ltd.",//yfdisplay.en.alibaba.com/contactinfo.html,Supplier,6,"Jewelry Display,Cosmetic Display,Wood Box,Display Box,Acrylic Holder",//yfdisplay.en.alibaba.com/company_profile.html#top-nav-bar
"Dongguan Yuefeng Display Product Co., Ltd.",//cnsuperbest.en.alibaba.com/contactinfo.html,Gold Supplier,9,"Acrylic Display,Acrylic Box,Acrylic Photo Frame,Acrylic Gifts",//cnsuperbest.en.alibaba.com/company_profile.html#top-nav-bar
Shenzhen Superbest ,//mantimelong.en.alibaba.com/contactinfo.html,Gold Supplier,6,"Promotional Gifts,Practical Tools",//mantimelong.en.alibaba.com/company_profile.html#top-nav-bar
" Product Co., Limited",//szhl.en.alibaba.com/contactinfo.html,Gold Supplier,7,"Acrylic Makeup Organizer,Acrylic Bird Feeder,Acrylic Box,Acrylic Display Stand,Acrylic 3D Lamp",//szhl.en.alibaba.com/company_profile.html#top-nav-bar
"Shenzhen Mantimelong Electronic Co., Ltd.",//acrylicchina.en.alibaba.com/contactinfo.html,Gold Supplier,5,"Acrylic Display Stand,Acrylic Photo Frame,Acrylic Wine Holder,Acrylic Box,Acrylic Cosmetic Display",//acrylicchina.en.alibaba.com/company_profile.html#top-nav-bar
Shenzhen Honglei ,//4-space.en.alibaba.com/contactinfo.html,Supplier,10,"Acrylic Products (Acrylic Display,Acrylic Box,Acrylic Blocks,Acrylic Custom Products,Photo Frame)",//4-space.en.alibaba.com/company_profile.html#top-nav-bar
" Product Co., Ltd.",//hwd.en.alibaba.com/contactinfo.html,Gold Supplier,2,"Acrylic Photo Frame,Acrylic Storage Box,Acrylic Furniture,Acrylic Stationery,Acrylic Display,Acrylic Decoration",//hwd.en.alibaba.com/company_profile.html#top-nav-bar
"Shenzhen Xianfenglong Industry Co., Ltd.",//linenpro.en.alibaba.com/contactinfo.html,Supplier,5,"Bedding Set,Table Cloth,Towel,Bathrobe,Quilt,Hotel Amenity",//linenpro.en.alibaba.com/company_profile.html#top-nav-bar
"Shenzhen Yuda Crafts Co., Ltd.",//jyx.en.alibaba.com/contactinfo.html,Gold Supplier,13,"Acrylic displays,acrylic frame,acrylic box,acrylic hotel accessoried,acrylic home decoration",//jyx.en.alibaba.com/company_profile.html#top-nav-bar
"Huangyan Tongling Plastic Co., Ltd.",//chinatongling.en.alibaba.com/contactinfo.html,Gold Supplier,4,"Bathroom Plastic Products,Household Plastic Products",//chinatongling.en.alibaba.com/company_profile.html#top-nav-bar
Wenzhou Xiri Sanitary Wares Factory (General Partnership),//cnxiri.en.alibaba.com/contactinfo.html,Supplier,6,Faucet,//cnxiri.en.alibaba.com/company_profile.html#top-nav-bar
"TOP JINGLE DEVELOPMENT CO., LTD.",//topjie.en.alibaba.com/contactinfo.html,Gold Supplier,8,"Bathroom items,Kitchenware,Houseware,Furniture,Living Room",//topjie.en.alibaba.com/company_profile.html#top-nav-bar
"Dongguan J-Mart Houseware Co., Ltd.",//umart2016.en.alibaba.com/contactinfo.html,Gold Supplier,2,"Bathroom Accessories,Shower Curtains,Shower Curtain Hooks,Suction Cup Hooks,Adhesive Hooks",//umart2016.en.alibaba.com/company_profile.html#top-nav-bar
"Taizhou Huangyan Changyue Mould & Plastic Co., Ltd.",//cymplastic.en.alibaba.com/contactinfo.html,Gold Supplier,2,"Household product,plastic dustbin,Storage box,Bowl,basket",//cymplastic.en.alibaba.com/company_profile.html#top-nav-bar
Hangshau Houseware Company Limited Jiangmen,//hangshau.en.alibaba.com/contactinfo.html,Gold Supplier,4,"DUST BIN,TRASH BIN,GARBAGE BIN,PUSH BIN,WASTE BIN",//hangshau.en.alibaba.com/company_profile.html#top-nav-bar
Dongguan Wenmei ,//wenmei.en.alibaba.com/contactinfo.html,Supplier,13,"Acrylic Box,Acrylic Photo Frame,Acrylic Display,Paperweight &amp; Signage,Acrylic Award",//wenmei.en.alibaba.com/company_profile.html#top-nav-bar
" Product Co., Ltd.",//oempromo.en.alibaba.com/contactinfo.html,Supplier,9,"Stationery,Textile,Household Products,Tools,Toys",//oempromo.en.alibaba.com/company_profile.html#top-nav-bar
"Shenzhen PROMO Technology Co., Ltd. Longhua Branch",//acrylic-display.en.alibaba.com/contactinfo.html,Gold Supplier,3,"acrylic amenities box,acrylic serving box,watch stand,cosmetic organizer,hotel amenities box",//acrylic-display.en.alibaba.com/company_profile.html#top-nav-bar
Foshan City Nanhai District Qianwei Plastic Product Factory,//artcrystal.en.alibaba.com/contactinfo.html,Gold Supplier,2,"Crystal Candle Holder,Crystal Vase,Crystal Photo Frame,Crystal Animal,Crystal Xmas",//artcrystal.en.alibaba.com/company_profile.html#top-nav-bar
Huizhou Jayi ,//jayi-acrylic.en.alibaba.com/contactinfo.html,Supplier,7,"Acrylic Furniture,Acrylic Display,Acrylic Photo Frame,Acrylic Jewellery Box,Acrylic Stationer &amp; Pack Box",//jayi-acrylic.en.alibaba.com/company_profile.html#top-nav-bar
 Products Factory,//chinatongling.en.alibaba.com/contactinfo.html,Gold Supplier,4,"Bathroom Plastic Products,Household Plastic Products",//chinatongling.en.alibaba.com/company_profile.html#top-nav-bar
"Huangyan Tongling Plastic Co., Ltd.",//srlohas.en.alibaba.com/contactinfo.html,Supplier,9,Silica Gel Products,//srlohas.en.alibaba.com/company_profile.html#top-nav-bar
"SZ Lohas Silicone Rubber Co., Ltd.",//umart2016.en.alibaba.com/contactinfo.html,Gold Supplier,2,"Bathroom Accessories,Shower Curtains,Shower Curtain Hooks,Suction Cup Hooks,Adhesive Hooks",//umart2016.en.alibaba.com/company_profile.html#top-nav-bar
"Dongguan J-Mart Houseware Co., Ltd.",//jpmanu03.en.alibaba.com/contactinfo.html,Gold Supplier,5,"PC cup,PC pitcher,desser cup,food cover,melamine dinnerware",//jpmanu03.en.alibaba.com/company_profile.html#top-nav-bar
JP Manufactory Ltd. (Zhongshan),//drsilicone.en.alibaba.com/contactinfo.html,Gold Supplier,9,"Promotional Giveaway Gifts and Stationery Supplies,Home Kitchenware Utensils and Mother-baby Supplies,Personal Beauty Care and Outdoor Sports Supplies,Apparel Luggage Bag Garment Accessories,Mobile Phone Digital Computer Accessories",//drsilicone.en.alibaba.com/company_profile.html#top-nav-bar
"Dongguan Dongrong Silicone Products Co., Ltd.",//cymplastic.en.alibaba.com/contactinfo.html,Gold Supplier,2,"Household product,plastic dustbin,Storage box,Bowl,basket",//cymplastic.en.alibaba.com/company_profile.html#top-nav-bar
"Taizhou Huangyan Changyue Mould & Plastic Co., Ltd.",//szhl.en.alibaba.com/contactinfo.html,Gold Supplier,7,"Acrylic Makeup Organizer,Acrylic Bird Feeder,Acrylic Box,Acrylic Display Stand,Acrylic 3D Lamp",//szhl.en.alibaba.com/company_profile.html#top-nav-bar
Shenzhen Honglei ,//topjie.en.alibaba.com/contactinfo.html,Gold Supplier,8,"Bathroom items,Kitchenware,Houseware,Furniture,Living Room",//topjie.en.alibaba.com/company_profile.html#top-nav-bar
" Product Co., Ltd.",//de-ju.en.alibaba.com/contactinfo.html,Gold Supplier,7,"Bath Belt,Bath Brush,Microfiber Towels,Bath Pouf,Mesh Pouf",//de-ju.en.alibaba.com/company_profile.html#top-nav-bar
Shenzhen Ouke ,//szok.en.alibaba.com/contactinfo.html,Supplier,7,"Acrylic Box,Acrylic Photo Frame,Acrylic Display Stand,Acrylic Sign Holder",//szok.en.alibaba.com/company_profile.html#top-nav-bar
" Product Co., Ltd.",//yfdisplay.en.alibaba.com/contactinfo.html,Supplier,6,"Jewelry Display,Cosmetic Display,Wood Box,Display Box,Acrylic Holder",//yfdisplay.en.alibaba.com/company_profile.html#top-nav-bar
"Dongguan Yuefeng Display Product Co., Ltd.",//mantimelong.en.alibaba.com/contactinfo.html,Gold Supplier,6,"Promotional Gifts,Practical Tools",//mantimelong.en.alibaba.com/company_profile.html#top-nav-bar
"Shenzhen Mantimelong Electronic Co., Ltd.",//jiaheacrylic.en.alibaba.com/contactinfo.html,Gold Supplier,6,"Acrylic electronic products display,Acrylic jewelry display,Acrylic cosmetic display,Acrylic Photo Frame Display,Acrylic tobacco display",//jiaheacrylic.en.alibaba.com/company_profile.html#top-nav-bar
"Dongguan Jachoo Technology Gifts Co., Ltd.",//jayi-acrylic.en.alibaba.com/contactinfo.html,Supplier,7,"Acrylic Furniture,Acrylic Display,Acrylic Photo Frame,Acrylic Jewellery Box,Acrylic Stationer &amp; Pack Box",//jayi-acrylic.en.alibaba.com/company_profile.html#top-nav-bar
Huizhou Jayi ,//jyx.en.alibaba.com/contactinfo.html,Gold Supplier,13,"Acrylic displays,acrylic frame,acrylic box,acrylic hotel accessoried,acrylic home decoration",//jyx.en.alibaba.com/company_profile.html#top-nav-bar
 Products Factory,//2-space.en.alibaba.com/contactinfo.html,Gold Supplier,3,"Acrylic display,MDF&amp;Metal display,Cosmetic display,Acrylic gifts&amp;decoration,Plastic moulding products",//2-space.en.alibaba.com/company_profile.html#top-nav-bar
"Shenzhen Yuanyifang Crafts Co., Ltd.",//hwd.en.alibaba.com/contactinfo.html,Gold Supplier,2,"Acrylic Photo Frame,Acrylic Storage Box,Acrylic Furniture,Acrylic Stationery,Acrylic Display,Acrylic Decoration",//hwd.en.alibaba.com/company_profile.html#top-nav-bar
"Shenzhen Yuda Crafts Co., Limited",//aplop.en.alibaba.com/contactinfo.html,Gold Supplier,3,"Housware,Organizer,Mirror,Kitchen accessories,Bathroom accessories",//aplop.en.alibaba.com/company_profile.html#top-nav-bar
Dongguan HWD ,//garbath.en.alibaba.com/contactinfo.html,Gold Supplier,1,"suction cup,suction hooks,wire basket,plastic trash bin,shower caddy",//garbath.en.alibaba.com/company_profile.html#top-nav-bar
