business_supplier,contacts_url,gold_status,gold_years,main_products,supplier_url,trade_assurance
"Xuzhou Seagor Import And Export Co., Ltd.",//seagor.en.alibaba.com/contactinfo.html,Gold Supplier,5,"Yarns,Polyester Yarns,Polyester Viscose Blend Yarns,Polyester Cotton Blend Yarns,Viscose Yarns",//seagor.en.alibaba.com/company_profile.html#top-nav-bar,Trade Assurance
"Shanghai Charmkey Textile Co., Ltd.",//charmkey.en.alibaba.com/contactinfo.html,Gold Supplier,5,"fancy yarn,Acrylic Fibre,Chenille Yarn,Ployester yarn,Acrylic Yarn",//charmkey.en.alibaba.com/company_profile.html#top-nav-bar,Trade Assurance
"Wuhan Yuanao Trading Co., Ltd.",//runnow.en.alibaba.com/contactinfo.html,Gold Supplier,7,"100% spun polyester yarn,polyester yarn,sewing thread,colored yarn,bag closing thread",//runnow.en.alibaba.com/company_profile.html#top-nav-bar,Trade Assurance
"Hangzhou Fuyang B W Trade Co., Ltd.",//fybw.en.alibaba.com/contactinfo.html,Gold Supplier,2,"Knitting yarn,wool yarn,wool blended yarn,fancy yarn,core spun yarn",//fybw.en.alibaba.com/company_profile.html#top-nav-bar,Trade Assurance
"Shaanxi King Whale Information Technology Co., Ltd.",//k-textilemachine.en.alibaba.com/contactinfo.html,Gold Supplier,3,"100% cotton &amp;dyed and print fabric,polyester cotton &amp; dyed and printed fabric,wax fabric,organic cotton fabric,textile testing equipment",//k-textilemachine.en.alibaba.com/company_profile.html#top-nav-bar,Trade Assurance
"Zhuji Hongdi Textile Co., Ltd.",//zjhongdi.en.alibaba.com/contactinfo.html,Gold Supplier,2,"spandex covered yarn,polyester DTY,rubber covered yarn,100% polyester spun yarn,nylon DTY",//zjhongdi.en.alibaba.com/company_profile.html#top-nav-bar,Trade Assurance
"Zhuji Zhuotai Import & Export Co., Ltd.",//zhujizhuotai.en.alibaba.com/contactinfo.html,Gold Supplier,3,"DTY,FDY,ACY,SCY,Dope Dyed Yarn",//zhujizhuotai.en.alibaba.com/company_profile.html#top-nav-bar,Trade Assurance
"Tongxiang Heshan Weiye Textile Co., Ltd.",//spunsilk.en.alibaba.com/contactinfo.html,Gold Supplier,14,"Spun silk,silk tops,silk slivers,silk quilts,silk blankets",//spunsilk.en.alibaba.com/company_profile.html#top-nav-bar,Trade Assurance
