,category,business_supplier,gold_status,gold_years,main_products,supplier_url,contacts_url
806,WomensClothing,Yiwu Laidy Apparel Firm  ,Gold Supplier,2.0,"Apparels, Baby products, swimsuiits, backpacks",https://ywlaidy.en.alibaba.com/company_profile.html#top-nav-bar,https://ywlaidy.en.alibaba.com/contactinfo.html
807,WomensClothing,"Zhejiang Bonny Fashion Holding Group Co., Ltd.  ",Gold Supplier,4.0,"Seamless Underwear, Sportswear, Shapewear, Lingerie, Nightwear",https://bonnychina.en.alibaba.com/company_profile.html#top-nav-bar,https://bonnychina.en.alibaba.com/contactinfo.html
808,WomensClothing,"Dongguan Manxun , Corporation Ltd.  ",Gold Supplier,6.0,"Islamic Clothing, muslim Dresses, abaya, Pants",https://manxun.en.alibaba.com/company_profile.html#top-nav-bar,https://manxun.en.alibaba.com/contactinfo.html
809,WomensClothing,"Hangzhou Zoomon Outdoor Products Co., Ltd.  ",Gold Supplier,7.0,"Cycling Jerseys, Cycling Tights(shorts/bibshorts), Cycling Jackets, Rain/Wind Coats, Cycling Gloves",https://lance-sobike.en.alibaba.com/company_profile.html#top-nav-bar,https://lance-sobike.en.alibaba.com/contactinfo.html
810,WomensClothing,Huzhou Nanxun Jingercheng Leather Factory  ,Gold Supplier,5.0,"Leather bag, Snakeskin Bag, pu bag",https://patchworkleatherbag.en.alibaba.com/company_profile.html#top-nav-bar,https://patchworkleatherbag.en.alibaba.com/contactinfo.html
811,WomensClothing,A BASHIR EXPORT CO.  ,Gold Supplier,2.0,"Surgical Instruments, Dental Instruments, Sportswears, Team Wear, Gym Wear",https://bashirexportco.trustpass.alibaba.com/company_profile.html#top-nav-bar,https://bashirexportco.trustpass.alibaba.com/contactinfo.html
812,WomensClothing,"Yantai Lingnan , Co., Ltd.  ",Supplier,1.0,Clothing,https://ytlingnan.en.alibaba.com/company_profile.html#top-nav-bar,https://ytlingnan.en.alibaba.com/contactinfo.html
813,WomensClothing,"Guangzhou Saidian Sporting Goods Co., Ltd.  ",Supplier,2.0,"Sportswear, T-shirts, Polo Shirts, Hoodies, School Uniforms",https://saidiansport.en.alibaba.com/company_profile.html#top-nav-bar,https://saidiansport.en.alibaba.com/contactinfo.html
814,WomensClothing,BOSTON INDUSTRIES  ,Gold Supplier,4.0,"Varsity Jackets, Bomber Jackets, Windbreakers, Kevlar Hoodies Shirts and Jeans, Tracksuits",https://bostonindustries.trustpass.alibaba.com/company_profile.html#top-nav-bar,https://bostonindustries.trustpass.alibaba.com/contactinfo.html
815,WomensClothing,Guangzhou Kayue Apparel Company Limited  ,Gold Supplier,1.0,"Cheerleading Uniforms, Dance Wear, Yoga Wear, Cycling Wear, Baseball Jersey",https://creativesportapparel.en.alibaba.com/company_profile.html#top-nav-bar,https://creativesportapparel.en.alibaba.com/contactinfo.html
